id,title,subtitle,location,capacity,bookings,sponsored,tags
1,Canoe Trip,A scenic water adventure,"Toronto (43.651070° N, 79.347015° W)",89,33,TRUE,"Operations, Social Impact, Blockchain, Technology, Data Science"
2,Food Truck Fair,Savor flavors from around the world,"London (42.984924° N, 81.245277° W)",366,285,TRUE,"Social Impact, Sustainability, Leadership, Operations, Innovation"
3,Art Workshop,Unleash your inner artist,"Mississauga (43.589045° N, 79.644120° W)",235,55,FALSE,"Supply Chain, Innovation, Environment, Leadership"
4,Beach Bonfire,Watch the sunset by the beach,"Toronto (43.651070° N, 79.347015° W)",201,172,FALSE,"Blockchain, Supply Chain, Environment, Operations"
5,Stand-up Comedy Night,A night of jokes and fun,"Kitchener (43.451639° N, 80.492533° W)",266,186,TRUE,"Social Impact, Blockchain, Supply Chain, Operations"
6,Brewery Tour,Taste craft beers,"Windsor (42.314937° N, 83.036363° W)",444,143,FALSE,"Blockchain, Logistics, Operations, Technology, Data Science"
7,Yoga Retreat,Rejuvenate your mind and body,"Mississauga (43.589045° N, 79.644120° W)",85,45,FALSE,"Operations, Environment, Leadership, Social Impact"
8,Brewery Tour,Sip and savor the best brews,"Kingston (44.231172° N, 76.485954° W)",334,298,FALSE,"Operations, Data Science, AI, Social Impact"
9,Music Festival,Dance to the best tunes,"Brampton (43.731547° N, 79.762418° W)",153,0,FALSE,"Technology, Blockchain"
10,Wine Tasting,Wine and cheese pairing,"London (42.984924° N, 81.245277° W)",233,185,FALSE,"Environment, Logistics, Data Science, Social Impact"
11,Craft Fair,Shop from local artisans,"Toronto (43.651070° N, 79.347015° W)",417,302,FALSE,"Blockchain, Environment, Sustainability, Logistics, AI"
12,Picnic in the Park,Relax and dine in nature,"Hamilton (43.255721° N, 79.871102° W)",495,244,FALSE,"Operations, Data Science"
13,Yoga Retreat,A day of relaxation,"Niagara Falls (43.089558° N, 79.084944° W)",217,61,TRUE,"Operations, Data Science, Technology, Leadership, AI"
14,City Tour,Wander through the city,"Kitchener (44.451639° N, 80.492533° W)",223,215,TRUE,"Supply Chain, Leadership"
15,Wine Tasting,A tour of local vineyards,"Kingston (44.231172° N, 76.485954° W)",54,18,TRUE,"Leadership, Social Impact"
16,Cooking Class,Cook like a pro,"Kitchener (43.451639° N, 80.492533° W)",170,47,TRUE,"Leadership, Sustainability, AI, Supply Chain, Data Science"
17,Craft Fair,Shop from local artisans,"Brampton (43.731547° N, 79.762418° W)",119,88,TRUE,"Innovation, Leadership, Blockchain, Environment, Social Impact"
18,Picnic in the Park,A relaxing afternoon with food,"Toronto (43.651070° N, 79.347015° W)",477,12,TRUE,"Blockchain, Sustainability, Technology, Operations, AI"
19,Outdoor Movie Screening,A perfect night with popcorn,"Hamilton (43.255721° N, 79.871102° W)",292,109,FALSE,"Supply Chain, Innovation, Blockchain"
20,Photography Walk,Capture beautiful moments,"Hamilton (43.255721° N, 79.871102° W)",410,182,FALSE,"Technology, Logistics, Environment"
21,Photography Walk,Discover photogenic spots,"Brampton (43.731547° N, 79.762418° W)",324,280,TRUE,"Technology, Environment"
22,Outdoor Movie Screening,A perfect night with popcorn,"Toronto (43.651070° N, 79.347015° W)",272,100,FALSE,"Supply Chain, Leadership, Operations"
23,Spa Day,Relax and rejuvenate,"Windsor (42.314937° N, 83.036363° W)",327,100,FALSE,"Data Science, Sustainability, Leadership, Environment, Operations"
24,Food Truck Fair,Taste the best street food,"Niagara Falls (43.089558° N, 79.084944° W)",187,174,FALSE,"Technology, Leadership, Supply Chain, AI"
25,Canoe Trip,Paddle through serene waters,"Windsor (42.314937° N, 83.036363° W)",280,239,FALSE,"Social Impact, AI"
26,Picnic in the Park,Relax and dine in nature,"Toronto (43.651070° N, 79.347015° W)",312,81,FALSE,"Logistics, AI, Environment"
27,Stand-up Comedy Night,Comedy that will make your day,"Ottawa (45.421530° N, 75.697193° W)",119,55,TRUE,"Technology, Supply Chain, Innovation"
28,Photography Walk,Capture beautiful moments,"London (42.984924° N, 81.245277° W)",210,125,TRUE,"AI, Environment, Logistics"
29,Historical Walking Tour,Step back in time,"Mississauga (43.589045° N, 79.644120° W)",422,400,FALSE,"Technology, AI, Environment, Supply Chain"
30,Wine Tasting,Savor the finest wines,"Kingston (44.231172° N, 76.485954° W)",276,191,FALSE,"Innovation, Operations, Blockchain"
31,Yoga Retreat,Stretch and relax,"Windsor (42.314937° N, 83.036363° W)",230,16,TRUE,"Technology, Supply Chain, Environment, Operations"
32,Stand-up Comedy Night,A night of jokes and fun,"Mississauga (43.589045° N, 79.644120° W)",418,203,FALSE,"Environment, Blockchain"
33,Historical Walking Tour,Discover historic landmarks,"Niagara Falls (43.089558° N, 79.084944° W)",198,64,FALSE,"Data Science, Social Impact, Environment"
34,Farmers Market,Shop fresh local produce,"Mississauga (43.589045° N, 79.644120° W)",400,137,FALSE,"Environment, Sustainability, Technology, Data Science, Social Impact"
